,color
HP:0001176,24
HP:0001182,15
HP:0001500,15
HP:0001702,5
HP:0001804,9
HP:0002191,7
HP:0002868,15
HP:0006288,3
HP:0007370,7
HP:0010049,15
HP:0010788,1
HP:0100013,14
HP:0002224,9
HP:0002617,5
HP:0006579,9
HP:0008070,9
HP:0008368,15
HP:0000090,1
HP:0000766,15
HP:0001162,15
HP:0001830,15
HP:0000072,1
HP:0000202,3
HP:0003043,15
HP:0009755,3
HP:0009943,15
HP:0000068,1
HP:0000073,1
HP:0000340,3
HP:0001696,5
HP:0001746,16
HP:0001747,16
HP:0002084,3
HP:0002323,7
HP:0006706,17
HP:0006870,7
